New Sample Names,Injury,Timepoint,Pulldown,Run,Sample ID,Technical Replicates Name,isTechnicalReplicate
W3_1H_A165,Injured,1H,GLAST,Run1,165,W3_1H_A,TRUE
W3_1H_R166,Injured,1H,GluR2,Run1,166,W3_1H_R,TRUE
W3_24H_A167,Injured,24H,GLAST,Run1,167,W3_24H_A,TRUE
W3_24H_R168,Injured,24H,GluR2,Run1,168,W3_24H_R,TRUE
W3_6H_A169,Injured,6H,GLAST,Run1,169,W3_6H_A,TRUE
W3_6H_R170,Injured,6H,GluR2,Run1,170,W3_6H_R,TRUE
W3_D14_A171,Injured,D14,GLAST,Run1,171,W3_D14_A,FALSE
W3_D14_R172,Injured,D14,GluR2,Run1,172,W3_D14_R,TRUE
W3_D3_A173,Injured,D3,GLAST,Run1,173,W3_D3_A,FALSE
W3_D3_R174,Injured,D3,GluR2,Run1,174,W3_D3_R,FALSE
W3_D7_A175,Injured,D7,GLAST,Run1,175,W3_D7_A,FALSE
W3_D7_R176,Injured,D7,GluR2,Run1,176,W3_D7_R,FALSE
W3_PRE_A177,Injured,PRE,GLAST,Run1,177,W3_PRE_A,TRUE
W3_PRE_R178,Injured,PRE,GluR2,Run1,178,W3_PRE_R,TRUE
W5_1H_A179,Sham,1H,GLAST,Run1,179,W5_1H_A,TRUE
W5_1H_R180,Sham,1H,GluR2,Run1,180,W5_1H_R,TRUE
W5_24H_A181,Sham,24H,GLAST,Run1,181,W5_24H_A,TRUE
W5_24H_R182,Sham,24H,GluR2,Run1,182,W5_24H_R,TRUE
W5_6H_A183,Sham,6H,GLAST,Run1,183,W5_6H_A,TRUE
W5_6H_R184,Sham,6H,GluR2,Run1,184,W5_6H_R,TRUE
W5_D10_A185,Sham,D10,GLAST,Run1,185,W5_D10_A,FALSE
W5_D10_R186,Sham,D10,GluR2,Run1,186,W5_D10_R,FALSE
W5_D14_A187,Sham,D14,GLAST,Run1,187,W5_D14_A,FALSE
W5_D14_R188,Sham,D14,GluR2,Run1,188,W5_D14_R,FALSE
W5_D3_A189,Sham,D3,GLAST,Run1,189,W5_D3_A,FALSE
W5_D3_R190,Sham,D3,GluR2,Run1,190,W5_D3_R,FALSE
W5_D7_A191,Sham,D7,GLAST,Run1,191,W5_D7_A,FALSE
W5_D7_R192,Sham,D7,GluR2,Run1,192,W5_D7_R,FALSE
W5_PRE_A193,Sham,PRE,GLAST,Run1,193,W5_PRE_A,TRUE
W5_PRE_R194,Sham,PRE,GluR2,Run1,194,W5_PRE_R,TRUE
W3_1H_A201,Injured,1H,GLAST,Run2,201,W3_1H_A,TRUE
W3_1H_R202,Injured,1H,GluR2,Run2,202,W3_1H_R,TRUE
W3_24H_A203,Injured,24H,GLAST,Run2,203,W3_24H_A,TRUE
W3_24H_R204,Injured,24H,GluR2,Run2,204,W3_24H_R,TRUE
W3_6H_A205,Injured,6H,GLAST,Run2,205,W3_6H_A,TRUE
W3_6H_R206,Injured,6H,GluR2,Run2,206,W3_6H_R,TRUE
W3_D14_R207,Injured,D14,GluR2,Run2,207,W3_D14_R,TRUE
W3_PRE_A208,Injured,PRE,GLAST,Run2,208,W3_PRE_A,TRUE
W3_PRE_R209,Injured,PRE,GluR2,Run2,209,W3_PRE_R,TRUE
W4_1H_A210,Injured,1H,GLAST,Run2,210,W4_1H_A,FALSE
W4_1H_R211,Injured,1H,GluR2,Run2,211,W4_1H_R,FALSE
W4_24H_A212,Injured,24H,GLAST,Run2,212,W4_24H_A,FALSE
W4_24H_R213,Injured,24H,GluR2,Run2,213,W4_24H_R,FALSE
W4_6H_A214,Injured,6H,GLAST,Run2,214,W4_6H_A,FALSE
W4_6H_R215,Injured,6H,GluR2,Run2,215,W4_6H_R,FALSE
W4_D10_A216,Injured,D10,GLAST,Run2,216,W4_D10_A,FALSE
W4_D10_R217,Injured,D10,GluR2,Run2,217,W4_D10_R,FALSE
W4_D14_A218,Injured,D14,GLAST,Run2,218,W4_D14_A,FALSE
W4_D14_R219,Injured,D14,GluR2,Run2,219,W4_D14_R,FALSE
W4_D3_A220,Injured,D3,GLAST,Run2,220,W4_D3_A,FALSE
W4_D3_R221,Injured,D3,GluR2,Run2,221,W4_D3_R,FALSE
W4_D7_A222,Injured,D7,GLAST,Run2,222,W4_D7_A,FALSE
W4_D7_R223,Injured,D7,GluR2,Run2,223,W4_D7_R,FALSE
W4_PRE_A224,Injured,PRE,GLAST,Run2,224,W4_PRE_A,FALSE
W4_PRE_R225,Injured,PRE,GluR2,Run2,225,W4_PRE_R,FALSE
W5_1H_A226,Sham,1H,GLAST,Run2,226,W5_1H_A,TRUE
W5_1H_R227,Sham,1H,GluR2,Run2,227,W5_1H_R,TRUE
W5_24H_A228,Sham,24H,GLAST,Run2,228,W5_24H_A,TRUE
W5_24H_R229,Sham,24H,GluR2,Run2,229,W5_24H_R,TRUE
W5_6H_A230,Sham,6H,GLAST,Run2,230,W5_6H_A,TRUE
W5_6H_R231,Sham,6H,GluR2,Run2,231,W5_6H_R,TRUE
W5_PRE_A232,Sham,PRE,GLAST,Run2,232,W5_PRE_A,TRUE
W5_PRE_R233,Sham,PRE,GluR2,Run2,233,W5_PRE_R,TRUE
W6_1H_R234,Sham,1H,GluR2,Run2,234,W6_1H_R,FALSE
W6_24H_A235,Sham,24H,GLAST,Run2,235,W6_24H_A,FALSE
W6_24H_R236,Sham,24H,GluR2,Run2,236,W6_24H_R,FALSE
W6_6H_A237,Sham,6H,GLAST,Run2,237,W6_6H_A,FALSE
W6_6H_R238,Sham,6H,GluR2,Run2,238,W6_6H_R,FALSE
W6_D3_A239,Sham,D3,GLAST,Run2,239,W6_D3_A,FALSE
W6_D3_R240,Sham,D3,GluR2,Run2,240,W6_D3_R,FALSE
W6_D7_A241,Sham,D7,GLAST,Run2,241,W6_D7_A,FALSE
W6_D7_R242,Sham,D7,GluR2,Run2,242,W6_D7_R,FALSE
W6_D10_A243,Sham,D10,GLAST,Run2,243,W6_D10_A,FALSE
W6_D10_R244,Sham,D10,GluR2,Run2,244,W6_D10_R,FALSE
W6_D14_A245,Sham,D14,GLAST,Run2,245,W6_D14_A,FALSE
W6_D14_R246,Sham,D14,GluR2,Run2,246,W6_D14_R,FALSE
W6_PRE_A247,Sham,PRE,GLAST,Run2,247,W6_PRE_A,FALSE
W6_PRE_R248,Sham,PRE,GluR2,Run2,248,W6_PRE_R,FALSE
W7_1H_A249,Sham,1H,GLAST,Run2,249,W7_1H_A,FALSE
W7_1H_R250,Sham,1H,GluR2,Run2,250,W7_1H_R,FALSE
W7_24H_A251,Sham,24H,GLAST,Run2,251,W7_24H_A,FALSE
W7_24H_R252,Sham,24H,GluR2,Run2,252,W7_24H_R,FALSE
W7_6H_A253,Sham,6H,GLAST,Run2,253,W7_6H_A,FALSE
W7_6H_R254,Sham,6H,GluR2,Run2,254,W7_6H_R,FALSE
W7_D10_A255,Sham,D10,GLAST,Run2,255,W7_D10_A,FALSE
W7_D10_R256,Sham,D10,GluR2,Run2,256,W7_D10_R,FALSE
W7_D14_A257,Sham,D14,GLAST,Run2,257,W7_D14_A,FALSE
W7_D14_R258,Sham,D14,GluR2,Run2,258,W7_D14_R,FALSE
W7_D7_A259,Sham,D7,GLAST,Run2,259,W7_D7_A,FALSE
W7_D7_R260,Sham,D7,GluR2,Run2,260,W7_D7_R,FALSE
W7_PRE_A261,Sham,PRE,GLAST,Run2,261,W7_PRE_A,FALSE
W7_PRE_R262,Sham,PRE,GluR2,Run2,262,W7_PRE_R,FALSE
W8_1H_A263,Injured,1H,GLAST,Run2,263,W8_1H_A,FALSE
W8_1H_R264,Injured,1H,GluR2,Run2,264,W8_1H_R,FALSE
W8_24H_A265,Injured,24H,GLAST,Run2,265,W8_24H_A,FALSE
W8_24H_R266,Injured,24H,GluR2,Run2,266,W8_24H_R,FALSE
W8_6H_A267,Injured,6H,GLAST,Run2,267,W8_6H_A,FALSE
W8_6H_R268,Injured,6H,GluR2,Run2,268,W8_6H_R,FALSE
W8_D10_A269,Injured,D10,GLAST,Run2,269,W8_D10_A,FALSE
W8_D10_R270,Injured,D10,GluR2,Run2,270,W8_D10_R,FALSE
W8_D14_A271,Injured,D14,GLAST,Run2,271,W8_D14_A,FALSE
W8_D14_R272,Injured,D14,GluR2,Run2,272,W8_D14_R,FALSE
W8_D3_A273,Injured,D3,GLAST,Run2,273,W8_D3_A,FALSE
W8_D3_R274,Injured,D3,GluR2,Run2,274,W8_D3_R,FALSE
W8_D7_A275,Injured,D7,GLAST,Run2,275,W8_D7_A,FALSE
W8_D7_R276,Injured,D7,GluR2,Run2,276,W8_D7_R,FALSE
W8_PRE_A277,Injured,PRE,GLAST,Run2,277,W8_PRE_A,FALSE
W8_PRE_R278,Injured,PRE,GluR2,Run2,278,W8_PRE_R,FALSE
W9_1H_A279,Injured,1H,GLAST,Run2,279,W9_1H_A,FALSE
W9_1H_R280,Injured,1H,GluR2,Run2,280,W9_1H_R,FALSE
W9_24H_A281,Injured,24H,GLAST,Run2,281,W9_24H_A,FALSE
W9_24H_R282,Injured,24H,GluR2,Run2,282,W9_24H_R,FALSE
W9_6H_A283,Injured,6H,GLAST,Run2,283,W9_6H_A,FALSE
W9_6H_R284,Injured,6H,GluR2,Run2,284,W9_6H_R,FALSE
W9_D10_A285,Injured,D10,GLAST,Run2,285,W9_D10_A,FALSE
W9_D10_R286,Injured,D10,GluR2,Run2,286,W9_D10_R,FALSE
W9_D14_A287,Injured,D14,GLAST,Run2,287,W9_D14_A,FALSE
W9_D14_R288,Injured,D14,GluR2,Run2,288,W9_D14_R,FALSE
W9_D3_A289,Injured,D3,GLAST,Run2,289,W9_D3_A,FALSE
W9_D3_R290,Injured,D3,GluR2,Run2,290,W9_D3_R,FALSE
W9_D7_A291,Injured,D7,GLAST,Run2,291,W9_D7_A,FALSE
W9_D7_R292,Injured,D7,GluR2,Run2,292,W9_D7_R,FALSE
W9_PRE_A293,Injured,PRE,GLAST,Run2,293,W9_PRE_A,FALSE
W9_PRE_R294,Injured,PRE,GluR2,Run2,294,W9_PRE_R,FALSE
W10_PRE_R307,Injured,PRE,GluR2,Run3,307,W10_PRE_R,FALSE
W10_D3_R308,Injured,D3,GluR2,Run3,308,W10_D3_R,FALSE
W10_D10_R309,Injured,D10,GluR2,Run3,309,W10_D10_R,FALSE
W10_D14_R310,Injured,D14,GluR2,Run3,310,W10_D14_R,FALSE
W11_PRE_A311,Injured,PRE,GLAST,Run3,311,W11_PRE_A,FALSE
W11_1H_A312,Injured,1H,GLAST,Run3,312,W11_1H_A,FALSE
W11_6H_A313,Injured,6H,GLAST,Run3,313,W11_6H_A,FALSE
W11_24H_A314,Injured,24H,GLAST,Run3,314,W11_24H_A,FALSE
W11_D3_A315,Injured,D3,GLAST,Run3,315,W11_D3_A,FALSE
W11_D7_A316,Injured,D7,GLAST,Run3,316,W11_D7_A,FALSE
W11_D10_A317,Injured,D10,GLAST,Run3,317,W11_D10_A,FALSE
W11_D14_A318,Injured,D14,GLAST,Run3,318,W11_D14_A,FALSE
W12_PRE_R319,Injured,PRE,GluR2,Run3,319,W12_PRE_R,FALSE
W12_1H_R320,Injured,1H,GluR2,Run3,320,W12_1H_R,FALSE
W12_6H_R321,Injured,6H,GluR2,Run3,321,W12_6H_R,FALSE
W12_24H_R322,Injured,24H,GluR2,Run3,322,W12_24H_R,FALSE
W12_D3_R323,Injured,D3,GluR2,Run3,323,W12_D3_R,FALSE
W12_D7_R324,Injured,D7,GluR2,Run3,324,W12_D7_R,FALSE
W12_D10_R325,Injured,D10,GluR2,Run3,325,W12_D10_R,FALSE
W12_D14_R326,Injured,D14,GluR2,Run3,326,W12_D14_R,FALSE
